torque,0,500,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20001
1.3,1,66.61,68.99,72.6,74.93,76.3,76.95,77.13,77.03,76.8,76.57,76.45,76.47,76.68,77.06,77.56,78.11,78.6,78.87,78.75,78.02,76.44
2.7,1,62,67.25,75.23,80.44,83.51,85.03,85.49,85.31,84.84,84.35,84.05,84.06,84.44,85.17,86.14,87.2,88.09,88.5,88.04,86.25,82.58
5.4,1,49.16,57.41,70.1,78.58,83.81,86.64,87.79,87.91,87.52,87.02,86.72,86.83,87.42,88.49,89.9,91.42,92.7,93.3,92.65,90.09,84.85
7.9,1,39.49,48.98,63.76,73.86,80.32,84.07,85.91,86.52,86.47,86.23,86.13,86.39,87.13,88.35,89.91,91.57,93,93.7,93.11,90.51,85.1
10.4,1,32.49,42.42,58.04,68.94,76.14,80.54,82.96,84.05,84.41,84.49,84.63,85.06,85.91,87.18,88.77,90.46,91.91,92.68,92.21,89.84,84.78
12.5,1,26.93,36.87,52.66,63.9,71.55,76.46,79.38,80.97,81.76,82.2,82.62,83.25,84.21,85.52,87.11,88.77,90.21,91.03,90.73,88.7,84.23
14.4,1,22.65,32.34,47.9,59.18,67.06,72.33,75.68,77.7,78.91,79.71,80.41,81.24,82.31,83.67,85.23,86.85,88.27,89.14,89.01,87.35,83.53
16,1,19.08,28.33,43.35,54.44,62.4,67.92,71.62,74.05,75.66,76.82,77.81,78.84,80.04,81.43,82.98,84.55,85.94,86.85,86.89,85.61,82.47
17.4,1,16.19,24.94,39.29,50.05,57.94,63.6,67.56,70.33,72.29,73.79,75.08,76.34,77.68,79.13,80.65,82.12,83.35,84.07,83.95,82.56,79.41
18.5,1,13.8,22.08,35.71,46.05,53.76,59.41,63.53,66.54,68.82,70.65,72.26,73.8,75.33,76.85,78.31,79.54,80.34,80.41,79.4,76.85,72.28
19.6,1,12.6,19.54,31.67,41.66,49.75,56.16,61.1,64.78,67.39,69.1,70.09,70.52,70.52,70.25,69.82,69.35,68.95,68.7,68.69,68.98,69.65
21.01,1,9.1,14.27,24.08,33.05,41.01,47.84,53.47,57.85,60.99,62.93,63.76,63.58,62.57,60.93,58.9,56.76,54.84,53.5,53.14,54.22,57.2
