type,length,angle
straight,23.11303023,0
corner,11.44526289,2.902305562
straight,4.194056388,0
corner,9.802387605,1.014559037
corner,10.36322073,1.794196956
straight,13.9019558,0
corner,17.67843536,2.694786089
straight,29.33096266,0
corner,12.6492253,0.6965603161
straight,11.9024638,0
corner,8.382016764,1.570445934
straight,4.319024638,0
corner,8.382016764,0.8936078222
straight,68.39116078,0
corner,9.144018288,2.168744297
corner,10.97282195,0.7449058956
straight,46.51866904,0
corner,13.71602743,2.052854532
straight,8.241808484,0
corner,19.81203962,1.766795309
straight,10.71069342,0
corner,26.97485395,2.388655597
straight,15.42291085,0
corner,18.28803658,0.950330975
straight,12.22555245,0
corner,13.86842774,2.264388259
straight,12.54559309,0
corner,9.144018288,0.7887136228
corner,18.28803658,0.8393281283
corner,16.76403353,0.8873246422
corner,9.144018288,1.088211869
corner,10.66802134,1.235517534
straight,10.04318009,0
corner,7.953771908,0.5427969389
straight,64.002032,0
corner,8.991617983,0.9344484922
corner,14.17322835,2.063850097
corner,19.0500381,0.9548688272
straight,55.68402337,0
corner,19.54229108,0.5096357111
corner,15.24003048,1.124863753
corner,15.58140716,1.018922357
corner,17.57632715,0.8772017411
corner,16.002032,0.4996873428
straight,39.51435103,0
corner,30.48006096,1.356119683
straight,17.57175514,0
corner,21.58902718,0.61889323
corner,12.82600965,0.6218602872
corner,15.95631191,0.8941314206
corner,8.851409703,0.9171697472
corner,12.62484125,1.526289142
straight,48.2499365,0
